Date,Home Team,Away Team
14/08/2021 12:30,Man Utd,Leeds
14/08/2021 15:00,Burnley,Brighton
14/08/2021 15:00,Chelsea,Crystal Palace
14/08/2021 15:00,Everton,Southampton
14/08/2021 15:00,Leicester,Wolves
14/08/2021 15:00,Watford,Aston Villa
14/08/2021 17:30,Norwich,Liverpool
15/08/2021 14:00,Newcastle,West Ham
15/08/2021 16:30,Spurs,Man City
21/08/2021 12:30,Liverpool,Burnley
21/08/2021 15:00,Aston Villa,Newcastle
21/08/2021 15:00,Leeds,Everton
21/08/2021 15:00,Man City,Norwich
21/08/2021 17:30,Brighton,Watford
22/08/2021 14:00,Southampton,Man Utd
22/08/2021 14:00,Wolves,Spurs
22/08/2021 16:30,Arsenal,Chelsea
23/08/2021 20:00,West Ham,Leicester
28/08/2021 12:30,Man City,Arsenal
28/08/2021 15:00,Brighton,Everton
28/08/2021 15:00,Newcastle,Southampton
28/08/2021 15:00,Norwich,Leicester
28/08/2021 15:00,West Ham,Crystal Palace
28/08/2021 17:30,Liverpool,Chelsea
29/08/2021 14:00,Burnley,Leeds
29/08/2021 14:00,Spurs,Watford
29/08/2021 16:30,Wolves,Man Utd
11/9/2021 12:30,Crystal Palace,Spurs
11/9/2021 15:00,Arsenal,Norwich
11/9/2021 15:00,Leicester,Man City
11/9/2021 15:00,Man Utd,Newcastle
11/9/2021 15:00,Southampton,West Ham
11/9/2021 15:00,Watford,Wolves
11/9/2021 17:30,Chelsea,Aston Villa
12/9/2021 16:30,Leeds,Liverpool
13/09/2021 20:00,Everton,Burnley
17/09/2021 20:00,Newcastle,Leeds
18/09/2021 15:00,Burnley,Arsenal
18/09/2021 15:00,Liverpool,Crystal Palace
18/09/2021 15:00,Man City,Southampton
18/09/2021 15:00,Norwich,Watford
18/09/2021 17:30,Aston Villa,Everton
19/09/2021 14:00,Brighton,Leicester
19/09/2021 14:00,West Ham,Man Utd
19/09/2021 16:30,Spurs,Chelsea
25/09/2021 12:30,Chelsea,Man City
25/09/2021 15:00,Everton,Norwich
25/09/2021 15:00,Leeds,West Ham
25/09/2021 15:00,Leicester,Burnley
25/09/2021 15:00,Man Utd,Aston Villa
25/09/2021 15:00,Watford,Newcastle
26/09/2021 14:00,Southampton,Wolves
26/09/2021 16:30,Arsenal,Spurs
27/09/2021 20:00,Crystal Palace,Brighton
2/10/2021 15:00,Brighton,Arsenal
2/10/2021 15:00,Burnley,Norwich
2/10/2021 15:00,Chelsea,Southampton
2/10/2021 15:00,Crystal Palace,Leicester
2/10/2021 15:00,Leeds,Watford
2/10/2021 15:00,Liverpool,Man City
2/10/2021 15:00,Man Utd,Everton
2/10/2021 15:00,Spurs,Aston Villa
2/10/2021 15:00,Wolves,Newcastle
16/10/2021 15:00,Arsenal,Crystal Palace
16/10/2021 15:00,Aston Villa,Wolves
16/10/2021 15:00,Everton,West Ham
16/10/2021 15:00,Leicester,Man Utd
16/10/2021 15:00,Man City,Burnley
16/10/2021 15:00,Newcastle,Spurs
16/10/2021 15:00,Norwich,Brighton
16/10/2021 15:00,Southampton,Leeds
16/10/2021 15:00,Watford,Liverpool
23/10/2021 15:00,Arsenal,Aston Villa
23/10/2021 15:00,Brighton,Man City
23/10/2021 15:00,Chelsea,Norwich
23/10/2021 15:00,Crystal Palace,Newcastle
23/10/2021 15:00,Everton,Watford
23/10/2021 15:00,Leeds,Wolves
23/10/2021 15:00,Man Utd,Liverpool
23/10/2021 15:00,Southampton,Burnley
23/10/2021 15:00,West Ham,Spurs
30/10/2021 15:00,Aston Villa,West Ham
30/10/2021 15:00,Leicester,Arsenal
30/10/2021 15:00,Liverpool,Brighton
30/10/2021 15:00,Man City,Crystal Palace
30/10/2021 15:00,Newcastle,Chelsea
30/10/2021 15:00,Norwich,Leeds
30/10/2021 15:00,Spurs,Man Utd
30/10/2021 15:00,Watford,Southampton
30/10/2021 15:00,Wolves,Everton
6/11/2021 15:00,Arsenal,Watford
6/11/2021 15:00,Brighton,Newcastle
6/11/2021 15:00,Chelsea,Burnley
6/11/2021 15:00,Crystal Palace,Wolves
6/11/2021 15:00,Everton,Spurs
6/11/2021 15:00,Leeds,Leicester
6/11/2021 15:00,Man Utd,Man City
6/11/2021 15:00,Southampton,Aston Villa
6/11/2021 15:00,West Ham,Liverpool
20/11/2021 15:00,Aston Villa,Brighton
20/11/2021 15:00,Burnley,Crystal Palace
20/11/2021 15:00,Leicester,Chelsea
20/11/2021 15:00,Liverpool,Arsenal
20/11/2021 15:00,Man City,Everton
20/11/2021 15:00,Norwich,Southampton
20/11/2021 15:00,Spurs,Leeds
20/11/2021 15:00,Watford,Man Utd
